Maaşım yattı ve kendime yeni bir telefon aldım.,POZITIF_GELIR
Bu ayki kredi kartı borcunun hepsini kapattım çok şükür.,POZITIF_ODEME
Doğalgaz faturası beklediğimden çok yüksek geldi.,NEGATIF_HARCAMA
Ayın daha 15'i ama benim param bitti.,NEGATIF_YETERSİZLİK
Kenara biraz para ayırıp yatırım yapmayı düşünüyorum.,NOYTR_PLANLAMA
Borçlarımı ödediğim için çok mutluyum ve rahatladım.,POZITIF_ODEME
Gelirim giderimi karşılamıyor ne yapacağımı bilmiyorum.,NEGATIF_YETERSİZLİK
Bu ay bütçemde fazla para kaldı bunu birikime atacağım.,POZITIF_GELIR
Kira yine çok arttı bu beni endişelendiriyor.,NEGATIF_HARCAMA
Tasarruf için bir hedef belirledim ve ona ulaşıyorum.,NOYTR_PLANLAMA
Yatırımlarım bu ay iyi kazandırdı.,POZITIF_GELIR
Arabam bozuldu ve beklenmedik bir masraf çıktı.,NEGATIF_HARCAMA
Bu borç yükü altında eziliyorum.,NEGATIF_YETERSİZLİK
Neyse ki kenarda acil durum için biraz param vardı.,POZITIF_ODEME
Finansal hedeflerimi gözden geçirmem gerekiyor.,NOYTR_PLANLAMA
Bu ay prim yattı bütçem çok rahatladı.,POZITIF_GELIR
Çocuğun okul masrafları beni çok zorladı.,NEGATIF_HARCAMA
Kredi taksitimin sonuncusunu da ödedim üstümden büyük bir yük kalktı.,POZITIF_ODEME
Emeklilik için bir fon almayı araştırıyorum.,NOYTR_PLANLAMA
Ne kadar kazanırsam kazanayım para bir türlü yetmiyor.,NEGATIF_YETERSİZLİK
Ek işimden ilk paramı kazandım harika bir his!,POZITIF_GELIR
Acil bir durum için kenardaki birikimimi kullanmak zorunda kaldım.,NEGATIF_HARCAMA
Kendime yeni bir bütçe planı hazırlamam lazım.,NOYTR_PLANLAMA
Bu ayki gelirimle faturaları bile ödeyemem.,NEGATIF_YETERSİZLİK
Vergi borcumu yapılandırdım ve ilk taksidi yatırdım.,POZITIF_ODEME
Ek işten gelen para bu ay bana çok iyi oldu.,POZITIF_GELIR
Kredi kartı ekstresini zamanında ödedim içim rahatladı.,POZITIF_ODEME
Elektrik faturası neredeyse iki katına çıkmış.,NEGATIF_HARCAMA
Ay sonunda elimde hiç para kalmadı.,NEGATIF_YETERSİZLİK
Gelecek ay için birikim planı yapmaya başladım.,NOYTR_PLANLAMA
Maaşımdan kalan parayı tatil için ayırdım.,POZITIF_GELIR
Kredi borcumu kapattım  çok hafifledim.,POZITIF_ODEME
Market alışverişi her zamankinden çok daha pahalıya geldi.,NEGATIF_HARCAMA
Borçlarım yüzünden geceleri uyuyamıyorum.,NEGATIF_YETERSİZLİK
Tasarruf hesabı açmayı düşünüyorum.,NOYTR_PLANLAMA
Primim yattı beklediğimden fazlaydı.,POZITIF_GELIR
Kira ve faturaları ödedim artık içim rahat.,POZITIF_ODEME
Arabam için ödediğim sigorta çok pahalıydı.,NEGATIF_HARCAMA
Her ay giderlerim gelirimden fazla oluyor.,NEGATIF_YETERSİZLİK
Harcamalarımı daha iyi kontrol etmeyi öğrenmeliyim.,NOYTR_PLANLAMA
Yatırım hesabımda güzel bir artış oldu.,POZITIF_GELIR
Taksitlerimi kapattım yüküm hafifledi.,POZITIF_ODEME
Bu ay sağlık giderleri bütçemi aştı.,NEGATIF_HARCAMA
Maaşım yetmiyor sürekli borç almak zorunda kalıyorum.,NEGATIF_YETERSİZLİK
Birikim hedefim için aylık plan oluşturdum.,NOYTR_PLANLAMA
Bursum yattı okul masraflarımı rahatça karşıladım.,POZITIF_GELIR
İşsizlik maaşı aldım biraz nefes aldım.,POZITIF_GELIR
Kredi kartı borcumu tamamen kapattım içim çok rahat.,POZITIF_ODEME
Öğrenci olduğum için harç paramı yatırmak zorunda kaldım.,NEGATIF_HARCAMA
Bu ay nafaka ödememi yaptım görevimi yerine getirdim.,POZITIF_ODEME
İşsiz kaldım giderlerimi nasıl karşılayacağımı bilmiyorum.,NEGATIF_YETERSİZLİK
Yurt ücreti çok arttı bütçemi zorladı.,NEGATIF_HARCAMA
Param yetmediği için ders kitabı alamadım.,NEGATIF_YETERSİZLİK
Aylık harçlığımı planlı kullanmaya karar verdim.,NOYTR_PLANLAMA
Staj ücreti aldım az da olsa katkı sağladı.,POZITIF_GELIR
Nafaka ödeyince elimde hiç para kalmadı.,NEGATIF_YETERSİZLİK
Üniversite için bilgisayar almak zorunda kaldım.,NEGATIF_HARCAMA
Eğitim için birikim yapmayı hedefliyorum.,NOYTR_PLANLAMA
KYK borcumu düzenli ödemeye devam ediyorum.,POZITIF_ODEME
İş arıyorum ama masraflarımı karşılamak çok zor oluyor.,NEGATIF_YETERSİZLİK
Birikim yapıp mezuniyet sonrası için kenara para ayırmayı planlıyorum.,NOYTR_PLANLAMA
Nafaka ödediğim için başka harcama yapamadım.,NEGATIF_HARCAMA
İş bulunca tüm borçlarımı kapatmayı düşünüyorum.,NOYTR_PLANLAMA
Öğrenci indirimleri sayesinde biraz tasarruf edebildim.,POZITIF_GELIR
Telefon taksitimi bu ay da aksatmadan ödedim.,POZITIF_ODEME
